,number,sentences
1374,pl,"ఆంధ్రులు వింధ్యపర్వత దక్షిణ భాగానికి తరలివెళ్లి , ద్రావిడులతో కలసిన ఆర్యులుగా క్రీపూ 7 వ శతాబ్దంయొక్క సంస్కృత రచనలు వర్ణిస్తున్నాయి ."
1375,pl,నవీన చరిత్రకారులు ఆంధ్రుల చరిత్ర ఆనాటినుండి మొదలైనట్లుగా లెక్కిస్తున్నారు .
1376,sg,"పోలీసుచర్యద్వారా హైదరాబాదు 1948 భారత దేశంలో విలీనం అయ్యి , హైదరాబాదు రాష్ట్రంగా అవతరించింది ."
1377,pl,గుంటూరులో హైకోర్టు ఏర్పాటు చేసారు .
1378,sg,కొత్త రాష్ట్రానికి హైదరాబాదు రాజధానిగా అవతరించింది .
1379,pl,"1960 వ సంవత్సరంలో పటాస్కర్కమీషన్ తీర్పుమూలంగా చిత్తూరు జిల్లా తిరుత్తణి తాలూకాలోని ఎక్కువ భాగాన్ని తమిళనాడుకు ఇచ్చి , తమిళనాడుకు చెందిన తిరువళ్లూర్ తాలూకాలోని కొన్ని గ్రామాలను ఆంధ్రప్రదేశ్లో చేర్చారు ."
1380,pl,ఆంధ్రప్రదేశ్ ఆవిర్భవించినప్పుడు 20 జిల్లాలే ఉన్నాయి .
1381,,నీలంసంజీవరెడ్డి ఆంధ్రప్రదేశ్కు తొలి ముఖ్యమంత్రి NULL_Vఘ్ఞ్ .
1382,pl,1982 అన్నీ కాంగ్రెసు ప్రభుత్వాలే ఆంధ్రప్రదేశ్ను పరిపాలించాయి .
1383,pl,పివినరసింహారావు ముఖ్యమంత్రిగా కొంతకాలం పనిచేసారు .
1384,sg,కాంగ్రెస్ పార్టీ సొంతంగా మెజారిటీ స్థానాలు సంపాదించి వరుసగా రెండో సారి వైఎస్రాజశేఖరరెడ్డి ముఖ్యమంత్రి అయ్యాడు .
1385,sg,రాష్ట్రంలో 23 జిల్లాలు కలవు .
1386,sg,ఆంధ్రప్రదేశ్కు పార్లమెంటులో 60 స్థానాలు కలవు .
1387,sg,1956 20 జిల్లాలతో ఆంధ్రప్రదేశ్ ఏర్పడింది .
1388,,రాష్ట్ర ఆర్థిక వ్యవస్థకు వ్యవసాయం ఆయువుపట్టు NULL_Vఘ్ఞ్ .
1389,,తెలుగు రాష్ట్ర భాష NULL_Vఘ్ఞ్ .
1390,pl,ఉర్దూ మాట్లాడే ముస్లింలు ఎక్కువగా హైదరాబాదులో ఉన్నారు .
1391,sg,ఆంధ్రప్రదేశ్కు గొప్ప సాంస్కృతిక వారసత్వం కలదు .
1392,pl,ఆంధ్రులు గత 70 సంవత్సరాలుగా సినిమాను విపరీతంగా పెంచి పోషించారు .
1393,pl,రాష్ట్రంలో సంవత్సరానికి సుమారు 130 సినిమాలు రూపొందుతాయి .
1394,sg,ఆంధ్రప్రదేశ్లో పలు సంగ్రహాలయాలు కలవు .
1395,pl,ఈ రెండు సంగ్రహాలయాలు హైదరాబాదులో ఉన్నాయి .
1396,sg,ఆంధ్రప్రదేశ్లో విద్యా నిర్వహణ ప్రభుత్వ శాఖలద్వారా జరుగుతుంది .
1397,sg,బతుకమ్మ ఆశ్వీయుజ మాసంలో వస్తుంది .
1398,sg,దసరా అక్టోబరు నెలలో వస్తుంది .
1399,sg,దీపావళి నవంబరు నెలలో వస్తుంది .
1400,sg,పర్యాటక ప్రదేశాలలో విశాఖపట్నం ఒకటి చెప్పుకోదగినది .
1401,,కమల అత్త కాంతం NULL .
1402,any,కాంతం ఏది చెబితే అదే జరగాలి .
1403,sg,కమలను రోజు ఏదో ఒకటి అనేది .
1404,sg,ఊరకనే మాటలు అనేది .
1405,sg,కమల ఏమీ అనలేకపోయేది .
1406,sg,ఒకరోజు వేడి పాలమీద వెన్న ఏమైంది ?
1407,sg,అని కాంతం కమలను అడిగింది .
1408,sg,వేడి పాలమీద వెన్న ఎలా ఉంటుంది .
1409,,అని కమల NULL .
1410,,అనుమానం .
1411,any,అదే విషయం అత్తతో అంది .
1412,any,ఎదురు జవాబులు బాగా తెలుసు .
1413,sg,అని కాంతం కోపంగా చూసింది .
1414,,ఇంకోసారి పచ్చిపాలమీద మీగడ ఏమఐంది NULL ?
1415,sg,అని కాంతం అడిగింది .
1416,,పచ్చిపాలమీద మీగడనా NULL .
1417,sg,అది ఎలా ఉంటుంది .
1418,sg,అని కమల అడిగింది .
1419,sg,కాంతం కమలను తిట్టింది .
1420,sg,ఒక రోజు కాంతం ఎదురింటికి పోయింది .
1421,any,విత్తనశుద్ధికి ఒక కిలో విత్తనాలలో 3 గ్రాముల మందు కలపాలి .
1422,sg,కమల వంట పనిలో ఉంది .
1423,sg,కమలకు జాలి వేసింది .
1424,sg,అయినా పిడికెడు బియ్యం తీసుకుంది .
1425,sg,బిచ్చగానికి వేసింది .
1426,sg,అదే సమయంలో కాంతం ఇంటికి చేరింది .
1427,any,బియ్యం ఊరకనే రాలేదు .
1428,any,వర్షాధారం పంటగా వేసినప్పుడు ఆవాలను సాళ్లలో వేసుకోవాలి .
